No,Latitude,Longitude  
1,22.45833333,113.8983333
2,22.44,113.8833333
3,22.41666667,113.8866667
4,22.38833333,113.8916667
5,22.36133333,113.913
6,22.34483333,113.9595
7,22.34283333,114.015
8,22.35966667,114.0596667
9,22.35966667,114.0723333
10,22.30566667,114.0913333
11,22.245,114.12
12,22.215,114.1616667
13,22.2075,114.1716667
14,22.115,114.2266667
15,22.11,114.3416667
16,22.08333333,114.4166667
17,22,114.4166667
18,16,112.9
19,10,110
20,3.25,105.25
21,1.533333333,104.5833333
22,1.311666667,104.325
23,1.253333333,103.9833333
24,1.206666667,103.87
25,1.175,103.8
26,1.136666667,103.7333333
27,1.173333333,103.68
28,1.203333333,103.5583333
29,1.245,103.5366667
30,1.265,103.5433333
31,1.313333333,103.5566667
32,1.328333333,103.555
33,1.358333333,103.5433333
