No,Latitude,Longitude  
1,6.948333333,79.835
2,6.97,79.835
3,7.008333333,79.79166667
4,7,79.75
5,6.9,79.75
6,6.333333333,79.85
7,5.966666667,80.08333333
8,5.716666667,80.5
9,6.333333333,95.11666667
10,5.5,97.58333333
11,4,99.54166667
12,3.016666667,100.7583333
13,2.916666667,100.8783333
14,2.803333333,100.9916667
15,2.583333333,101.4
16,2.141666667,101.9666667
17,1.9,102.225
18,1.633333333,102.7916667
19,1.425,103.1333333
20,1.211666667,103.3916667
21,1.166666667,103.4666667
22,1.245,103.5383333
23,1.311666667,103.5566667
24,1.325,103.5558333
25,1.358333333,103.545
