No,Latitude,Longitude  
1,1.2825,103.765
2,1.2875,103.7566667
3,1.2875,103.75
4,1.28,103.7441667
5,1.271666667,103.75
6,1.25,103.7166667
7,1.218333333,103.6816667
8,1.2,103.6583333
9,1.196666667,103.5933333
10,1.23,103.43
11,1.625,102.9916667
12,1.933333333,102.3
13,2.366666667,101.775
14,2.616666667,101.4333333
15,2.716666667,101.2366667
16,2.8325,101.2508333
17,2.9,101.2641667
18,2.916666667,101.2795
19,2.976666667,101.315
20,2.995,101.3408333
21,3.013333333,101.3533333
22,3.036666667,101.355
