No,Latitude,Longitude  
1,6.946666667,79.85
2,6.9625,79.8425
3,6.983333333,79.82916667
4,7.003333333,79.80916667
5,7.008333333,79.79166667
6,7,79.75
7,6.5,79.75
8,5.916666667,80.09
9,5.725,80.33333333
10,5.725,80.66666667
11,6.3,95.16666667
12,5.5,97.58333333
13,4,99.58333333
14,3.333333333,100.3333333
15,3,100.7833333
16,2.883333333,100.9166667
17,2.816666667,100.975
18,2.706666667,101.1816667
19,2.843333333,101.2566667
20,2.9,101.2641667
21,2.916666667,101.2795
22,2.954166667,101.3041667
