No,Latitude,Longitude  
1,22.74333333,69.715
2,22.73833333,69.72333333
3,22.72833333,69.72333333
4,22.70333333,69.71333333
5,22.60833333,69.65666667
6,22.60833333,69.61666667
7,22.63833333,69.53333333
8,22.63833333,69.03333333
9,22.62,68.97166667
10,22.58333333,68.92833333
11,22.325,68.80833333
12,22.28333333,68.76666667
13,21.5,69.05
14,15.66666667,71.33333333
15,12.5,74
16,9,76
17,7.833333333,77.26666667
18,7.008333333,79.79166667
19,6.986666667,79.81666667
20,6.983333333,79.82916667
21,6.9625,79.8425
22,6.946666667,79.85
23,24.82216667,66.9715
24,24.84166667,66.97816667
