No,Latitude,Longitude  
1,1.2755,103.775
2,1.266666667,103.7733333
3,1.261666667,103.7666667
4,1.271666667,103.75
5,1.25,103.7166667
6,1.218333333,103.6816667
7,1.2,103.6583333
8,1.196666667,103.5933333
9,1.23,103.43
10,1.625,102.9916667
11,1.933333333,102.3
12,2.366666667,101.775
13,2.616666667,101.4333333
14,2.725,101.2416667
15,2.8325,101.2508333
16,2.9,101.2641667
17,2.916666667,101.2795
18,2.976666667,101.315
19,2.995,101.3408333
20,3.013333333,101.3533333
21,3.036666667,101.355
