No,Latitude,Longitude  
1,27.095,56.06
2,27.09,56.065
3,27.07,56.15333333
4,27.05333333,56.25333333
5,26.96666667,56.33333333
6,26.875,56.46666667
7,26.5,56.75
8,26,56.91666667
9,25.66666667,57.13
10,25.56666667,57.225
11,24,59.20166667
12,10.83333333,74
13,7.994166667,76.78166667
14,5.7,80.5
15,6.333333333,95
16,5.5,97.58333333
17,3.602683333,100.05
18,3,100.7833333
19,2.883333333,100.9166667
20,2.81,100.9833333
21,2.716666667,101.1666667
22,2.716666667,101.1916667
23,2.833333333,101.25
24,2.848333333,101.2541667
25,2.9,101.2641667
26,2.916666667,101.28
27,2.945,101.2966667
