No,Latitude,Longitude  
1,1.361233333,103.5435
2,1.354483333,103.5450167
3,1.32595,103.5563
4,1.314283333,103.5570667
5,1.2675,103.5445667
6,1.241666667,103.5333333
7,1.223333333,103.525
8,1.225,103.4916667
9,1.241666667,103.4166667
10,1.413333333,103.18
11,1.645,102.8666667
12,1.923333333,102.2783333
13,2.168333333,101.9883333
14,2.375,101.775
15,2.608333333,101.45
16,2.833333333,100.9883333
17,2.935,100.9166667
18,5.5,97.58333333
19,6.333333333,95
20,5.815,80.50166667
21,6.009116667,80
22,6.816666667,79.75666667
23,7,79.75666667
24,7.008333333,79.79166667
25,7.008333333,79.79166667
26,7.005,79.80666667
27,6.981666667,79.82833333
28,6.9575,79.84516667
29,6.943333333,79.85
