No,Latitude,Longitude  
1,27.09166667,56.05833333
2,27.075,56.12833333
3,27.06833333,56.16666667
4,27.05333333,56.25
5,26.86666667,56.54666667
6,26.41666667,56.83333333
7,26.125,56.83333333
8,25.60666667,57.17333333
9,25.05,58
10,23.31666667,61.85
11,16.66666667,70
12,12,74.63333333
s,8.816666667,76.03333333
14,7.55,77
15,5.616666667,80.5
16,6,92
17,6.416666667,95
18,5.5,98
19,2.98,100.805
20,2.953333333,100.8533333
21,2.791666667,101
22,2.575,101.4166667
23,2.1,102
24,1.916666667,102.1916667
25,1.666666667,102.7333333
26,1.4,103.1666667
27,1.216666667,103.3833333
28,1.173333333,103.455
29,1.173333333,103.55
30,1.218333333,103.5883333
31,1.215,103.6016667
32,1.2,103.6583333
33,1.228333333,103.7083333
34,1.246666667,103.7283333
35,1.243333333,103.7416667
36,1.246666667,103.7683333
37,1.261666667,103.7716667
38,1.276666667,103.755
