No,Latitude,Longitude  
1,1.361666667,103.545
2,1.35,103.5466667
3,1.333333333,103.555
4,1.316666667,103.5583333
5,1.266666667,103.545
6,1.245,103.535
7,1.228333333,103.5316667
8,1.236666667,103.42
9,1.438333333,103.2116667
10,1.635,102.98
11,1.758333333,102.6666667
12,1.953333333,102.2716667
13,2.366666667,101.78
14,2.608333333,101.45
15,2.833333333,101
16,2.991666667,100.8416667
17,5.5,98
18,6.416666667,95
19,5.816666667,80.45
20,6,80
21,6.766666667,79.73333333
22,7,79.755
23,7,79.79166667
24,6.988333333,79.805
25,6.971666667,79.83166667
26,6.958333333,79.845
27,6.951666667,79.84666667
28,6.946666667,79.85166667
