No,Latitude,Longitude  
1,1.285666667,103.7633333
2,1.288833333,103.7556667
3,1.287833333,103.7493333
4,1.280333333,103.745
5,1.271666667,103.75
6,1.258333333,103.7283333
7,1.246666667,103.7083333
8,1.213333333,103.675
9,1.2,103.658
10,1.2,103.6333333
11,1.233333333,103.41
12,1.633333333,102.8783333
13,1.95,102.265
14,2.37,101.7733333
15,2.608333333,101.45
16,2.826666667,101
17,3.028333333,100.8016667
18,4,99.78333333
19,5.5,98
20,6.291666667,95
21,5.6,81.66666667
22,5.6,80
23,6.266,78
24,14.16666667,54
25,14.45,53
26,11.95,45
27,12.34093333,44.02305
28,12.55,43.5
29,12.63333333,43.35833333
30,13.24166667,43.06666667
31,14.07166667,42.86166667
32,15.00008333,42.06058333
33,15.29166667,41.80833333
34,26.41666667,35
35,27.535,34.125
36,27.74833333,33.84166667
37,27.86666667,33.725
38,27.93333333,33.63333333
39,28.19333333,33.33833333
40,28.6,33.06
41,29.59666667,32.56916667
42,29.8,32.54791667
43,29.83333333,32.56666667
