No,Latitude,Longitude  
1,27.09,56.065
2,27.07533333,56.1275
3,27.07,56.155
4,27.05333333,56.25166667
5,26.9,56.49166667
6,26.83333333,56.49166667
7,26.55,56.55
8,26.46666667,56.60833333
9,25.76666667,57.07
10,25.58,57.20833333
11,25,58
12,11.8,73
13,10.85,74
14,8,77
15,7.2,78
16,6,79.5
17,5.708333333,80.53333333
18,5.708333333,80.66666667
19,6.296666667,95.11666667
20,5.333333333,97.91666667
21,4,99.75833333
22,3,100.7833333
23,2.916666667,100.8833333
24,2.81,100.9833333
25,2.711666667,101.1666667
26,2.748333333,101.2283333
27,2.816666667,101.2566667
28,2.833333333,101.2521667
29,2.9,101.2638333
30,2.916666667,101.28
31,2.933333333,101.29
