No,Latitude,Longitude  
1,13.05266667,100.9
2,13.04866667,100.8868333
3,13.06333333,100.8788333
4,13.08333333,100.8583333
5,13.08333333,100.825
6,13.06166667,100.7833333
7,12.8,100.6666667
8,12.5,100.6666667
9,10.5,102
10,7.75,104.3333333
11,7.75,105
12,8.75,108.4166667
13,9.916666667,109.5
14,16,112.8333333
15,22,114.4333333
16,22.12666667,114.4
17,22.13333333,114.25
18,22.16,114.2166667
19,22.21166667,114.1733333
20,22.21666667,114.1666667
21,22.24833333,114.125
22,22.28333333,114.105
23,22.3,114.0966667
24,22.305,114.0966667
25,22.31666667,114.1
26,22.33033333,114.126
