No,Latitude,Longitude  
1,2.833333333,101.2521667
2,2.82,101.2383333
3,2.713333333,101.0333333
4,2.683333333,101.3166667
5,2.583333333,101.4
6,2.166666667,101.9333333
7,1.883333333,102.25
8,1.641666667,102.775
9,1.366666667,103.1916667
10,1.175,103.4266667
11,1.125,103.5
12,1.041666667,103.65
13,1.083333333,103.72
14,1.133333333,103.7683333
15,1.163333333,103.8033333
16,1.193333333,103.875
17,1.213333333,103.9133333
18,1.235,103.9666667
19,1.288333333,104.3333333
20,1.575,104.6666667
21,2.5,104.6666667
22,4,104
23,5.666666667,103.6666667
24,7.333333333,102.1666667
25,8.5,100.9166667
26,11,100.6666667
27,12.8,100.6666667
28,13.03333333,100.7833333
29,13.06666667,100.8266667
30,13.09166667,100.835
31,13.09166667,100.8433333
32,13.08333333,100.8533333
