No,Latitude,Longitude  
1,2.933333333,101.2933333
2,2.919166667,101.2816667
3,2.898333333,101.2636667
4,2.833333333,101.2508333
5,2.816666667,101.2416667
6,2.682833333,101.2163333
7,2.583333333,101.4
8,2.108333333,102
9,1.93,102.1833333
10,1.666666667,102.7333333
11,1.409166667,103.1666667
12,1.196666667,103.3883333
13,1.040833333,103.65
14,1.078333333,103.715
15,1.13,103.765
16,1.161666667,103.8033333
17,1.23,103.9583333
18,1.281666667,104.3233333
19,1.411666667,104.4633333
20,1.666666667,104.5
21,3,104.36
22,6.583333333,103.85
23,8,103.3333333
24,11,102
25,12.66666667,100.7433333
26,12.91666667,100.7433333
27,13.045,100.8166667
28,13.08333333,100.8566667
29,13.06666667,100.8766667
30,13.05,100.8875
31,13.05333333,100.9
