No,Latitude,Longitude  
1,27.09166667,56.05833333
2,27.07533333,56.12783333
3,27.07,56.155
4,27.06666667,56.25
5,26.87166667,56.5
6,26.41666667,56.83333333
7,25.5,57.1
8,23,60.3695
9,10.5,74.5
10,8,77
11,7.30645,78
12,5.916666667,80
13,5.716666667,80.5
14,5.716666667,80.83333333
15,6.2,95.13333333
16,5.5,97.58333333
17,3.666666667,100
18,3.066666667,100.6
19,2.948333333,100.8
20,2.933333333,100.85
21,2.878333333,100.9166667
22,2.808333333,100.9833333
23,2.701666667,101.18
24,2.786666667,101.225
25,2.833333333,101.2508333
26,2.896666667,101.2633333
27,2.916666667,101.28
28,2.926666667,101.2866667
