No,Latitude,Longitude  
1,6.943333333,79.85
2,6.96,79.84416667
3,6.966666667,79.83966667
4,6.983333333,79.82833333
5,7.003333333,79.81
6,7.008333333,79.79166667
7,7.645066667,78
8,8,77
9,10.5,74.5
10,25.61666667,57.26666667
11,25.7,57.19166667
12,26.61666667,56.58333333
13,26.61666667,56.46666667
14,26.58333333,56.33333333
15,26.11666667,55.76666667
16,25.58333333,55.08333333
17,25.33333333,54.89166667
18,25.25,54.85
19,25.18333333,54.85
20,25.15166667,54.90166667
21,25.03333333,55.035
22,24.99333333,55.05166667
23,24.99166667,55.05666667
24,25,55.06666667
