No,Latitude,Longitude  
1,13.08333333,100.8533333
2,13.08833333,100.8308333
3,13.07,100.8233333
4,13.05,100.7666667
5,13,100.7333333
6,12.66666667,100.7333333
7,10.16666667,102.3666667
8,8,103.2333333
9,7.666666667,104
10,7.666666667,106
11,8.666666667,108
12,10,109.6666667
13,16,112.9166667
14,22.1,114.4166667
15,22.12166667,114.4166667
16,22.12833333,114.3833333
17,22.12833333,114.3416667
18,22.13333333,114.255
19,22.15833333,114.2166667
20,22.21083333,114.175
21,22.21333333,114.1716667
22,22.24833333,114.1241667
23,22.29766667,114.0973333
24,22.30666667,114.0966667
25,22.315,114.1
26,22.32666667,114.12
