No,Latitude,Longitude  
1,1.245,103.5383333
2,1.226666667,103.4833333
3,1.241666667,103.4166667
4,1.441666667,103.2083333
5,1.658333333,102.9291667
6,1.691666667,102.8333333
7,1.941666667,102.2666667
8,2.37,101.775
9,2.608333333,101.45
10,2.833333333,100.9916667
11,2.941666667,100.91
12,3.025,100.8
13,5.5,97.58333333
14,6.2,95.58333333
15,6.2,93.5
16,5.825,81
17,5.825,80.51666667
18,5.95,80.07333333
19,6.333333333,79.83333333
20,6.9,79.75
21,6.983333333,79.75
22,7.008333333,79.77
23,7.008333333,79.79166667
