No,Latitude,Longitude  
1,-33.91133333,18.445
2,-33.90433333,18.43583333
3,-33.89916667,18.438
4,-33.87666667,18.41416667
5,-33.85833333,18.43
6,-33.85833333,18.31333333
7,-34,18.21
8,-34.27166667,18.24166667
9,-34.5,18.5
10,-35,20
11,-34.8,21
12,-34.16666667,26
13,-25.5,50
14,-20,65
15,6,94.81666667
16,6,95.36
17,5.525,97.53333333
18,3.916666667,99.53333333
19,3,100.7783333
20,2.89,100.9166667
21,2.8,101
22,2.721666667,101.1666667
23,2.833333333,101.2513333
24,2.833333333,101.2513333
25,2.9,101.2633333
26,2.916666667,101.28
27,2.948333333,101.3
