No,Latitude,Longitude  
1,-29.87833333,31.02166667
2,-29.87566667,31.02666667
3,-29.87416667,31.03583333
4,-29.87666667,31.04
5,-29.87816667,31.0495
6,-29.85,31.07383333
7,-29.88333333,31.14166667
8,-30.5,30.8
9,-31,30.43333333
10,-31.75,29.66666667
11,-32.67333333,28.69166667
12,-34,26.66666667
13,-34.41666667,25
14,-34.805,22
15,-35,20
16,-34.5,18.5
17,-34.27166667,18.24166667
18,-34.03833333,18.24166667
19,-33.87666667,18.35
20,-33.87666667,18.4
21,-33.87666667,18.43083333
22,-33.89916667,18.438
23,-33.90433333,18.43583333
24,-33.91133333,18.445
