No,Latitude,Longitude  
1,36.87541667,-76.34886667
2,36.87878333,-76.33756667
3,36.88213333,-76.33425
4,36.91211667,-76.33935
5,36.91838333,-76.33958333
6,36.97083333,-76.3355
7,36.98893333,-76.31273333
8,37,-76.29786667
9,37.00781667,-76.25843333
10,37.00781667,-76.25843333
11,37.00841667,-76.24926667
12,37.00723333,-76.23975
13,36.95126667,-76.02305
14,36.95126667,-76.02305
15,36.93333333,-75.95916667
16,36.865,-75.875
17,36.82,-75.78666667
18,36.66666667,-75.61166667
19,35.8,-75.03333333
20,34.81666667,-75.3
21,33.4,-77.43333333
22,32.2,-79.79166667
23,31.97333333,-80.425
24,31.94083333,-80.66666667
25,31.94083333,-80.66666667
26,31.97265,-80.73598333
27,31.99313333,-80.78123333
28,31.99761667,-80.78736667
29,32.02905,-80.81596667
30,32.0337,-80.8236
31,32.0375,-80.8369
32,32.03833333,-80.84425
33,32.03475,-80.88466667
34,32.03475,-80.89456667
35,32.03816667,-80.9193
36,32.04103333,-80.92521667
37,32.06916667,-80.9539
38,32.07221667,-80.96066667
39,32.07385,-80.97211667
40,32.07713333,-80.98105
41,32.07713333,-80.98105
42,32.07933333,-80.98531667
43,32.09426667,-80.99315
44,32.0997,-81.00026667
45,32.10128333,-81.0042
46,32.10145,-81.00878333
47,32.10068333,-81.01181667
48,32.09806667,-81.01631667
49,32.09093333,-81.02105
50,32.0878,-81.02515
51,32.08048333,-81.04543333
52,32.08001667,-81.0509
53,32.081,-81.06073333
54,32.079,-81.0715
55,32.079,-81.0715
56,32.0792,-81.07638333
57,32.08371667,-81.0929
58,32.0854,-81.0957
59,32.09393333,-81.1048
60,32.10656667,-81.11956667
61,32.11245,-81.12436667
62,32.11845,-81.13058333
63,32.12201667,-81.13345
64,32.12786667,-81.13643333
65,32.13158333,-81.14018333
