No,Latitude,Longitude  
1,1.2741,103.7767333
2,1.2647,103.7722
3,1.27,103.75
4,1.258333333,103.7325
5,1.236,103.7066667
6,1.201666667,103.6583333
7,1.19,103.6083333
8,1.233333333,103.425
9,1.666666667,102.825
10,1.916666667,102.3
11,2.358333333,101.7833333
12,2.583333333,101.475
13,2.825,101
14,5.833333333,98
15,6.383333333,95.16666667
16,5.416666667,80.5
17,7.666666667,73
18,14.16666667,54
19,14.45,53
20,11.95,45
21,12.31,43.93333333
22,12.62333333,43.35666667
23,13.23333333,43.06666667
24,13.55666667,42.66666667
25,15.5,41.66666667
26,25,36
27,27.5,34.13333333
28,27.75,33.83333333
29,27.84,33.75
30,28.16666667,33.35
31,28.63333333,33.03333333
32,29.59,32.56666667
33,29.81,32.54666667
