No,Latitude,Longitude  
1,32.13158333,-81.14018333
2,32.12786667,-81.13643333
3,32.12201667,-81.13345
4,32.11845,-81.13058333
5,32.11245,-81.12436667
6,32.10656667,-81.11956667
7,32.09393333,-81.1048
8,32.0854,-81.0957
9,32.08371667,-81.0929
10,32.0792,-81.07638333
11,32.079,-81.0715
12,32.081,-81.06073333
13,32.08001667,-81.0509
14,32.08048333,-81.04543333
15,32.0878,-81.02515
16,32.09093333,-81.02105
17,32.09806667,-81.01631667
18,32.10068333,-81.01181667
19,32.10145,-81.00878333
20,32.10128333,-81.0042
21,32.0997,-81.00026667
22,32.09426667,-80.99315
23,32.07933333,-80.98531667
24,32.07713333,-80.98105
25,32.07385,-80.97211667
26,32.07221667,-80.96066667
27,32.06916667,-80.9539
28,32.04103333,-80.92521667
29,32.03816667,-80.9193
30,32.03475,-80.89456667
31,32.03475,-80.88466667
32,32.03833333,-80.84425
33,32.0375,-80.8369
34,32.0337,-80.8236
35,32.02905,-80.81596667
36,31.99761667,-80.78736667
37,31.99313333,-80.78123333
38,31.97265,-80.73598333
39,31.94083333,-80.66666667
40,31.94083333,-80.66666667
41,30.07833333,-77.05833333
42,25.06805,-69.71681667
43,-1.683333333,-38
44,-8.143333333,-30
45,-15.69833333,-20
46,-22.31666667,-10
47,-27.80666667,0
48,-32.14166667,10
49,-35.31666667,19.76666667
50,-35.18375,20.75
51,-34.5,30
52,-33.99333333,40
53,-32.655,50
54,-30.45333333,60
55,-27.34666667,70
56,-23.3,80
57,-18.32,90
58,-15.5,95
59,-6.5,105
60,-6.263616667,105.4989
61,-6.066666667,105.7
62,-5.35,106.15
63,-5.271533333,106.2813
64,-5.291483333,106.4177833
65,-5.2753,106.7678667
66,-5.146766667,107.01665
67,-3.848916667,107.5046167
68,-3.5008,107.5006167
69,-3.183333333,107.2833333
70,-3,107.3166667
71,-2.666666667,107.1833333
72,-2.383333333,107.1833333
73,-1.566666667,107.3
74,0.516666667,108
75,2.466666667,108.35
76,3.633333333,108.7166667
77,16,115.35
78,20.83333333,116.5
79,22.91666667,117.6
80,23.86666667,118.3
81,24.08333333,118.3333333
82,24.2,118.3
83,24.30166667,118.2071667
84,24.32833333,118.1833333
85,24.364,118.14
86,24.402,118.103
87,24.40196667,118.103
88,24.4052,118.0999
89,24.43166667,118.0516667
90,24.43916667,118.0225
91,24.445,117.9891667
92,24.44733333,117.9818333
93,24.45371667,117.9713
