No,Latitude,Longitude  
1,36.87583333,-76.349
2,36.88,-76.33383333
3,36.91216667,-76.33933333
4,36.91833333,-76.34
5,36.97,-76.33583333
6,36.99933333,-76.29966667
7,37.00816667,-76.2565
8,37.00833333,-76.24333333
9,36.95133333,-76.02333333
10,36.925,-75.95833333
11,36.91,-75.92833333
12,36.86333333,-75.875
13,36.80615,-75.76011667
14,35.99953333,-75.18676667
15,35.15,-75.16666667
16,35,-75.25
17,33.5,-77
18,32.41666667,-79
19,32,-80
20,31.95,-80.68333333
21,31.96666667,-80.71666667
22,31.9725,-80.7355
23,31.99283333,-80.78066667
24,31.99766667,-80.7875
25,32.02883333,-80.816
26,32.03366667,-80.82383333
27,32.0375,-80.83733333
28,32.03816667,-80.8465
29,32.03483333,-80.88333333
30,32.03466667,-80.89383333
31,32.03833333,-80.91933333
32,32.041,-80.92516667
33,32.06883333,-80.9535
34,32.07233333,-80.961
35,32.07383333,-80.97216667
36,32.07816667,-80.9835
37,32.09416667,-80.99266667
38,32.101,-81.0025
39,32.1015,-81.00883333
40,32.099,-81.015
41,32.09116667,-81.02116667
42,32.08783333,-81.02516667
43,32.08033333,-81.04533333
44,32.08033333,-81.054
45,32.081,-81.0605
46,32.079,-81.07166667
47,32.07916667,-81.07666667
48,32.084,-81.094
49,32.09216667,-81.1025
50,32.10516667,-81.11783333
51,32.12116667,-81.133
52,32.12733333,-81.136
53,32.13,-81.13916667
