No,Latitude,Longitude  
1,40.68083333,-74.14916667
2,40.67216667,-74.135
3,40.6435,-74.1525
4,40.64116667,-74.14733333
5,40.64333333,-74.13483333
6,40.643,-74.12483333
7,40.64733333,-74.11016667
8,40.647,-74.09466667
9,40.651,-74.08633333
10,40.6515,-74.081
11,40.6455,-74.05983333
12,40.61666667,-74.05
13,40.6,-74.04083333
14,40.53833333,-74.02333333
15,40.526,-74.012
16,40.47,-73.86833333
17,40.44166667,-73.83333333
18,40.425,-73.80333333
19,40.34333333,-73.81666667
20,39.425,-73.85833333
21,38.33333333,-74.13833333
22,36.93333333,-75.26666667
23,36.845,-75.79833333
24,36.87666667,-75.86333333
25,36.92166667,-75.915
26,36.94166667,-75.955
27,36.95133333,-76.02333333
28,37.00833333,-76.24333333
29,37.00816667,-76.2565
30,36.99933333,-76.29966667
31,36.97483333,-76.3305
32,36.97066667,-76.3345
33,36.96683333,-76.33583333
34,36.91833333,-76.33966667
35,36.91216667,-76.33933333
36,36.88216667,-76.33416667
37,36.8795,-76.33516667
38,36.87695,-76.34353333
39,36.87583333,-76.349
