No,Latitude,Longitude  
1,22.57333333,114.2633333
2,22.56,114.2783333
3,22.56333333,114.3216667
4,22.54166667,114.3883333
5,22.47333333,114.455
6,21.75,114.455
7,19,114
8,16,113.3333333
9,10,109.75
10,7.5,108.3
11,4,105.6333333
12,1.516666667,104.55
13,1.316666667,104.3333333
14,1.256666667,104
15,1.225333333,103.8908333
16,1.22,103.8666667
17,1.211666667,103.8533333
18,1.20555,103.8368
19,1.208333333,103.81
20,1.233333333,103.7866667
21,1.261666667,103.7666667
22,1.278333333,103.7466667
23,1.286666667,103.75
24,1.288333333,103.7583333
