No,Latitude,Longitude  
1,36.91216667,-76.32933333
2,36.9195,-76.34
3,36.97083333,-76.335
4,37,-76.29833333
5,37.00783333,-76.259
6,37.00683333,-76.23966667
7,36.951,-76.02333333
8,36.93833333,-75.975
9,36.91333333,-75.93166667
10,36.86666667,-75.87833333
11,36.81166667,-75.76666667
12,36.75,-75.69933333
13,36.1,-75
14,35.11666667,-75
15,32.5,-78.525
16,31.93166667,-80.4
17,31.93166667,-80.605
18,31.96666667,-80.71833333
19,31.97166667,-80.73333333
20,31.99266667,-80.78033333
21,31.9975,-80.78716667
22,32.029,-80.81616667
23,32.03366667,-80.824
24,32.0375,-80.83666667
25,32.03833333,-80.8455
26,32.03483333,-80.883
27,32.03483333,-80.895
28,32.03833333,-80.91933333
29,32.041,-80.925
30,32.06883333,-80.95366667
31,32.07233333,-80.96116667
32,32.07383333,-80.97233333
33,32.07696667,-80.9805
34,32.079,-80.9845
35,32.08366667,-80.98766667
36,32.09383333,-80.99266667
37,32.09966667,-81
38,32.10133333,-81.00416667
39,32.101,-81.01083333
40,32.09816667,-81.01633333
41,32.091,-81.021
42,32.08766667,-81.02533333
43,32.08066667,-81.0455
44,32.08016667,-81.05133333
45,32.081,-81.06066667
46,32.079,-81.07183333
47,32.07916667,-81.0765
48,32.08516667,-81.0955
49,32.085,-81.09533333
50,32.09216667,-81.1025
51,32.1065,-81.1195
52,32.11,-81.12233333
53,32.11866667,-81.13083333
54,32.12216667,-81.1335
55,32.12683333,-81.13583333
56,32.1305,-81.13933333
