No,Latitude,Longitude  
1,31.23833333,32.34833333
2,31.44333333,32.40833333
3,31.5,32.31666667
4,31.54166667,32.22833333
5,31.8,31.92666667
6,32.1,31
7,36.31666667,14.625
8,37.28333333,12
9,37.66666667,10.26666667
10,37.66666667,10
11,37.70833333,8.9
12,37.58333333,7
13,36.44166667,-2.166666667
14,35.99666667,-5.421666667
15,35.95833333,-5.606666667
16,35.90833333,-71.275
17,36.85,-74.5
18,36.825,-75.61666667
19,36.822,-75.75
20,36.875,-75.86433333
21,36.92066667,-75.91666667
22,36.94333333,-75.95666667
23,36.95166667,-76.02333333
24,37.01,-76.24833333
25,37,-76.29833333
26,36.97083333,-76.335
27,36.93,-76.3385
28,36.92666667,-76.33
