No,Latitude,Longitude  
1,-27.37133333,153.171
2,-27.367,153.1695
3,-27.31033333,153.2091667
4,-27.29,153.2233333
5,-27.23833333,153.3333333
6,-27.16666667,153.35
7,-27.12833333,153.35
8,-27.08833333,153.3116667
9,-27.055,153.3
10,-27.04166667,153.2566667
11,-26.96333333,153.225
12,-26.85833333,153.1525
13,-26.82966667,153.1475
14,-26.8075,153.1933333
15,-26.715,153.178
16,-26.66666667,153.2166667
17,-24.5,154.0166667
18,-21.83333333,154.0833333
19,-11.35,152.1
20,-11.1375,152.1188333
21,-10.62433333,152.0458333
22,-10.395,151.83
23,-8.333333333,151.1555
24,-5.933333333,147.7
25,-5.133333333,147.2166667
26,-4.166666667,146.0666667
27,-1.766666667,142.2666667
28,6.5,133.8333333
29,19.75,122
30,21.75,120.75
31,22.31666667,120.3333333
32,22.52333333,120.22
33,22.53333333,120.2416667
34,22.53905,120.2650833
35,22.54916667,120.2966667
36,22.5535,120.3223333
37,22.55,120.3311667
