No,Latitude,Longitude  
1,22.55,120.3311667
2,22.5535,120.3223333
3,22.54916667,120.2966667
4,22.54133333,120.1916667
5,22.31666667,120.3333333
6,21.75,120.75
7,19.75,122
8,6.583333333,133.8333333
9,-1.766666667,142.2666667
10,-4.166666667,146.0666667
11,-5.133333333,147.2166667
12,-5.933333333,147.7
13,-8.333333333,151.1555
14,-10.395,151.83
15,-10.62433333,152.0458333
16,-11.1375,152.1188333
17,-11.35,152.1
18,-21.83333333,154.0833333
19,-24,154.0633333
20,-30,153.6333333
21,-32.5,152.6666667
22,-34.01666667,151.315
23,-34.02333333,151.2666667
24,-33.98166667,151.205
25,-33.97166667,151.2066667
26,-33.9695,151.2155
