No,Latitude,Longitude  
1,6.946,79.832
2,6.966666667,79.83666667
3,6.983333333,79.82916667
4,7.0035,79.80983333
5,7.008333333,79.79166667
6,7.001666667,79.75666667
7,6.98,79.73333333
8,6.866666667,79.73333333
9,6,80
10,5.916666667,80.1
11,5.716666667,80.45
12,6.2,95.13333333
13,5.446666667,98
14,4,99.53333333
15,3,100.7816667
16,2.891666667,100.9166667
17,2.8,101
18,2.575,101.425
19,2.116666667,102
20,1.8875,102.225
21,1.625,102.7916667
22,1.52,103
23,1.4,103.1833333
24,1.213333333,103.3916667
25,1.120633333,103.5298333
26,1.042666667,103.65
27,1.08,103.715
28,1.133333333,103.7666667
29,1.1625,103.8066667
30,1.1935,103.877
31,1.233333333,103.9583333
32,1.291666667,104.3333333
33,1.516666667,104.5833333
34,3.25,105.25
35,6,107.2166667
36,8,108.6
37,15.5,115
38,22,119.0833333
39,23.16666667,119.9166667
40,24,119.9166667
41,24.83333333,120.5833333
42,25.26666667,121.0633333
43,25.26666667,121.2333333
44,25.15833333,121.3333333
45,25.153,121.3515
46,25.153,121.3688333
47,25.15866667,121.3833333
48,25.16333333,121.3883333
