No,Latitude,Longitude  
1,49.45833333,0.15
2,49.46166667,0.118333333
3,49.46666667,0.106666667
4,49.49,0.066666667
5,49.51666667,-0.068333333
6,49.54916667,-0.164333333
7,49.85001667,-1.25
8,50.05,-2.416666667
9,49.95,-3
10,49.19833333,-5
11,48.9,-5.783333333
12,43.28333333,-10.1
13,38.66666667,-10.1
14,36.78333333,-9.55
15,36.58333333,-9.3
16,35.9,-6.2
17,35.9,-5.666666667
18,35.98333333,-5.333333333
19,37.16666667,5
20,37.33333333,9
21,37.55833333,10
22,37.55833333,10.25
23,37.39166667,11.13333333
24,37,12
25,36.61666667,14.66666667
26,36.3,16
27,35.86666667,18
28,35.40833333,20
29,34.88333333,22
30,34.34166667,24
31,33.75,26
32,33.11666667,28
33,32.45,30
34,31.83783333,31.71666667
35,31.75,31.95
36,31.52666667,32.21333333
37,31.41666667,32.3
