No,Latitude,Longitude  
1,6.971666667,79.83333333
2,7.008333333,79.79166667
3,7.008333333,79.76666667
4,6.983333333,79.74166667
5,6.333333333,79.85
6,5.966666667,80.08333333
7,5.716666667,80.5
8,6.166666667,95
9,5.433333333,97.64166667
10,3.666666667,100
11,2.908333333,100.89
12,2.8,101
13,2.591666667,101.4
14,2.141666667,101.9666667
15,1.9,102.2166667
16,1.633333333,102.8
17,1.375,103.2
18,1.2,103.3833333
19,1.05,103.6383333
20,1.085,103.7116667
21,1.17,103.8
22,1.233333333,103.95
23,1.291666667,104.3333333
24,1.533333333,104.6166667
25,3.25,105.25
26,10,110
27,15.63333333,115.3666667
28,23,119.9166667
29,23.75,119.9166667
30,25.125,120.8416667
31,25.2625,121.2383333
32,25.16333333,121.3291667
33,25.15166667,121.3485333
34,25.15166667,121.3645667
35,25.16133333,121.3880667
