No,Latitude,Longitude  
1,6.943333333,79.85
2,6.952416667,79.84701667
3,6.9575,79.84516667
4,6.983333333,79.83
5,7.013333333,79.8
6,7.013333333,79.77
7,7.391666667,78
8,14.16666667,54
9,14.46666667,53
10,11.96666667,45
11,12.55833333,43.49166667
12,12.63333333,43.35833333
13,13.23333333,43.06666667
14,14.075,42.85833333
15,15,42
16,23,37.2327
17,25,36
18,27.5,34.16666667
19,27.73333333,33.85666667
20,27.89,33.7
21,27.95333333,33.60666667
22,28.16666667,33.35666667
23,28.58333333,33.06666667
24,29.6,32.56666667
25,29.80921667,32.55003333
