No,Latitude,Longitude  
1,6.946733333,79.83335
2,6.972416667,79.83641667
3,6.983333333,79.83
4,7.013333333,79.8
5,7.013333333,79.77
6,7,79.75666667
7,6.8167,79.75666667
8,6.000166667,80.00016667
9,5.7,80.5
10,6.333333333,95
11,5.5,97.58333333
12,4,99.58333333
13,3,100.7833333
14,2.883333333,100.9166667
15,2.81,100.9833333
16,2.676666667,101.22
17,2.583333333,101.4
18,2.116666667,102
19,1.9,102.2166667
20,1.633333333,102.7833333
21,1.416666667,103.155
22,1.25,103.3333333
23,1.166666667,103.4333333
24,1.113333333,103.6566667
25,1.038333333,103.6566667
26,1.095,103.7333333
27,1.151666667,103.7833333
28,1.231666667,103.9583333
29,1.286666667,104.3333333
30,1.515,104.59
31,3.283333333,105.1783333
32,5,106.7
33,8,109.6666667
34,16,112.9166667
35,23.11666667,119.78
36,23.94333333,120
37,25.00833333,120.5716667
38,25.26666667,121.0833333
39,25.26666667,121.2333333
40,25.15833333,121.3316667
41,25.15151667,121.3594
42,25.15383333,121.3720833
43,25.15861667,121.3828
44,25.16123333,121.3890167
45,25.16466667,121.3919667
