No,Latitude,Longitude  
1,49.45833333,0.15
2,49.46166667,0.118333333
3,49.46666667,0.106666667
4,49.49,0.066666667
5,49.53,-0.133333333
6,49.54986667,-0.163033333
7,49.85,-1.416666667
8,50.05,-2.416666667
9,49.95,-3
10,49.19833333,-5
11,48.9,-5.783333333
12,43.28333333,-10.1
13,38.66666667,-10.1
14,36.78333333,-9.55
15,36.58333333,-9.3
16,35.9,-6.2
17,35.9,-5.666666667
18,35.98333333,-5.333333333
19,36.05,-5
20,36.16666667,-3
21,37.00016667,3
22,37.16666667,5
23,37.33333333,9
24,37.55833333,10
25,37.55833333,10.25
26,37.39166667,11.13333333
27,37,12
28,32,31.6
29,31.75,31.95
30,31.52666667,32.21333333
31,31.41666667,32.3
