No,Latitude,Longitude  
1,22.45333333,113.895
2,22.44,113.885
3,22.42333333,113.885
4,22.38833333,113.8916667
5,22.3625,113.9166667
6,22.345,113.955
7,22.344,114.005
8,22.36,114.0583333
9,22.36,114.0723333
10,22.3,114.095
11,22.27,114.1066667
12,22.245,114.12
13,22.21333333,114.1633333
14,22.20666667,114.1716667
15,22.11666667,114.2216667
16,22.10933333,114.3566667
17,22,114.4166667
18,16,112.9166667
19,8,109.6666667
20,5,106.7
21,3.283333333,105.1783333
22,1.533333333,104.575
23,1.316666667,104.3333333
24,1.256666667,103.9833333
25,1.198333333,103.8533333
26,1.173333333,103.7916667
27,1.136666667,103.7333333
28,1.18,103.6683333
29,1.225,103.4916667
30,1.241666667,103.4166667
31,1.413333333,103.18
32,1.645,102.8666667
33,1.923333333,102.2783333
34,2.168333333,101.9883333
35,2.375,101.775
36,2.608333333,101.45
37,2.833333333,100.9883333
38,2.935,100.9166667
39,3.025,100.8
40,4,99.58333333
41,5.5,97.58333333
42,6.333333333,95
43,5.815,80.50166667
44,6,80
45,6.816666667,79.75666667
46,7,79.75666667
47,7.008333333,79.77833333
48,7.008333333,79.79166667
49,7.005,79.80833333
50,6.983333333,79.83
51,6.972416667,79.83641667
52,6.946733333,79.83335
