No,Latitude,Longitude  
1,-0.003333333,79.81
2,-0.008333333,79.79166667
3,-0.991666667,79.75
4,-0.873333333,6.25
5,-0.116666667,80
6,-0.95,80.16666667
7,-0.725,80.53333333
8,-0.725,81
9,-0.133333333,93.5
10,-0.133333333,95.41666667
11,-0.5,97.58333333
12,0,100.7833333
13,-0.808333333,101
14,-0.583333333,101.4
15,-0.141666667,101.975
16,-0.905,102.2416667
17,-0.643333333,102.7916667
18,-0.383333333,103.1933333
19,-0.216666667,103.3833333
20,-0.041666667,103.65
21,-0.091666667,103.73
22,-0.133333333,103.7683333
23,-0.16,103.7983333
24,-0.191666667,103.875
25,-0.231666667,103.9583333
26,-0.29,104.3333333
27,-0.5,104.5666667
28,-0.183333333,106
29,-0.5,109
30,0.333333333,113.6666667
31,1.766666667,119.7333333
32,1.1,120.0333333
33,1.891666667,120.955
34,1.783333333,121.1666667
35,1.76,121.2583333
36,25.16333333,121.3283333
