No,Latitude,Longitude  
1,49.45666667,0.153333333
2,49.46166667,0.116666667
3,49.49083333,0.064166667
4,49.51666667,-0.069166667
5,50.05,-2.433333333
6,49.96666667,-2.916666667
7,49.17666667,-5
8,48.88333333,-5.766666667
9,43.28333333,-10.1
10,38.7,-10.1
11,36.79166667,-9.541666667
12,36.575,-9.291666667
13,35.9,-6.2
14,35.92333333,-5.605
15,36,-5.316666667
16,37.16666667,5
17,37.35,8.6
18,37.55833333,10.03333333
19,37.55833333,10.23333333
20,37.38333333,11.13333333
21,37.26666667,11.38333333
22,31.75,31.95
23,31.52666667,32.21
24,31.40833333,32.30833333
