No,Latitude,Longitude  
1,29.83333333,32.56666667
2,29.8525,32.55416667
3,29.905,32.54583333
4,29.9125,32.5475
5,29.92333333,32.55166667
6,29.93666667,32.56833333
7,29.94583333,32.5775
8,29.95583333,32.58333333
9,29.96666667,32.58583333
10,29.97583333,32.58666667
11,29.98333333,32.58583333
12,30.06,32.57166667
13,30.11666667,32.57
14,30.19166667,32.56833333
15,30.19916667,32.56666667
16,30.2075,32.5625
17,30.24333333,32.53916667
18,30.25,32.5325
19,30.25333333,32.5275
20,30.25916667,32.51583333
21,30.26875,32.48333333
22,30.27916667,32.45166667
23,30.285,32.43958333
24,30.35583333,32.37625
25,30.36583333,32.3725
26,30.43708333,32.35791667
27,30.45,32.35666667
28,30.45666667,32.35666667
29,30.46666667,32.35583333
30,30.58333333,32.33166667
31,30.59666667,32.33083333
32,30.69166667,32.35333333
33,30.705,32.3525
34,30.71666667,32.34916667
35,30.73333333,32.34
36,30.75,32.33416667
37,30.80833333,32.318
38,31.095,32.30833333
39,31.1125,32.31166667
40,31.1725,32.3295
41,31.44,32.40666667
42,31.54,32.23
43,31.73616667,32
44,37.10666667,12
45,37.45833333,11.175
46,37.64166667,10.23333333
47,37.64166667,9
48,36.43333333,-2.166666667
49,36.03333333,-5.333333333
50,35.96333333,-5.596666667
51,35.96333333,-6.2
52,36.75,-9.15
53,36.89166667,-9.316666667
54,38.71666667,-9.85
55,43.18333333,-9.783333333
56,48.76666667,-5.6
57,48.995,-5
58,49.805,-2.85
59,49.89166667,-2.366666667
60,49.71666667,-1.641666667
61,50.28333333,0.05
62,50.5,1
63,50.71,1.35
64,50.91,1.45
65,51.11,1.683333333
66,51.21666667,1.683333333
67,51.645,1.823333333
68,51.85833333,1.791666667
69,51.85833333,1.675
70,51.85833333,1.6475
71,51.85833333,1.58
72,51.86333333,1.565
73,51.875,1.56
74,51.91166667,1.563333333
75,51.93333333,1.546666667
76,51.94166667,1.509166667
77,51.93333333,1.453333333
78,51.92916667,1.378333333
79,51.92583333,1.35
80,51.92416667,1.329166667
81,51.925,1.316666667
82,51.93,1.3125
83,51.93666667,1.311666667
84,51.94416667,1.311666667
85,51.955,1.304166667
