No,Latitude,Longitude  
1,22.21666667,114.1591667
2,1.791666667,114.1708333
3,1.846666667,114.2066667
4,1.881666667,114.35
5,1.89,114.35
6,1.05,114.4233333
7,1,113.0833333
8,-0.666666667,109
9,-0.4,105.9333333
10,-0.533333333,104.5666667
11,-0.316666667,104.3333333
12,-0.255,103.98
13,-0.233333333,103.9216667
14,-0.205833333,103.87
15,-0.169166667,103.7866667
16,-0.138333333,103.7333333
17,-0.183333333,103.6666667
18,-0.241666667,103.4166667
19,-0.675,102.8083333
20,-0.958333333,102.2666667
21,-0.366666667,101.775
22,-0.608333333,101.45
23,-0.826666667,101
24,-0.028333333,100.8016667
25,-0.475,97.66666667
26,-0.133333333,95.41666667
27,-0.133333333,93.5
28,-0.825,81
29,-0.825,80.53333333
30,-0.95,80.16666667
31,-0.116666667,80
32,-0.873333333,79.75
33,-0.991666667,79.75
34,7.008333333,79.79166667
