No,Latitude,Longitude  
1,6.946666667,79.835
2,6.97,79.835
3,6.979166667,79.83166667
4,7.003333333,79.81
5,7.008333333,79.79166667
6,7,79.76166667
7,6.976666667,79.74333333
8,6.75,79.74333333
9,6,80
10,5.716666667,80.5
11,6.166666667,95.5
12,5.5,98
13,3,100.7833333
14,2.938333333,100.8583333
15,2.8,101
16,2.583333333,101.3966667
17,2.140333333,101.9725
18,1.9,102.2166667
19,1.633333333,102.8
20,1.375,103.2
21,1.208333333,103.4
22,1.05,103.6433333
23,1.083333333,103.7116667
24,1.17,103.8
25,1.233333333,103.9583333
26,1.291666667,104.3333333
27,1.533333333,104.6166667
28,4,105.6333333
29,7.5,108.3
30,15.5,115
31,23.06166667,119.9
32,23.78333333,119.95
33,24.83333333,120.5833333
34,25.26666667,121.0633333
35,25.26666667,121.2333333
36,25.15833333,121.3333333
37,25.1525,121.3516667
38,25.1525,121.3681667
39,25.15833333,121.3833333
40,25.16333333,121.3908333
