No,Latitude,Longitude  
1,22.215,114.1616667
2,22.20833333,114.1708333
3,22.15333333,114.2041667
4,22.11783333,114.2241667
5,22.11016667,114.3555
6,22.05,114.3733333
7,16,113.1666667
8,7.5,108.3
9,4,105.6333333
10,1.543333333,104.5833333
11,1.313333333,104.325
12,1.254166667,103.9816667
13,1.227666667,103.9155
14,1.195833333,103.85
15,1.171666667,103.79
16,1.141666667,103.7383333
17,1.181666667,103.6666667
18,1.241666667,103.415
19,1.666666667,102.825
20,1.958333333,102.2666667
21,2.191666667,102
22,2.6125,101.4583333
23,2.833333333,101
24,5.6,98
25,6.333333333,95.5
26,5.816666667,80.45
27,6,80
28,6.75,79.74333333
29,6.976666667,79.74333333
30,7,79.76166667
31,7.008333333,79.79166667
32,7.003333333,79.81
33,6.979166667,79.83166667
34,6.97,79.835
35,6.946666667,79.835
