No,Latitude,Longitude  
1,29.853,32.554
2,29.80833333,32.525
3,29.58333333,32.525
4,29.13333333,32.75
5,28.8,32.88
6,28.25,33.23333333
7,28.15666667,33.31666667
8,27.8,33.75
9,27.5,34.06666667
10,25.83333333,35
11,18,40.08688333
12,15,41.95
13,13.63333333,42.51666667
14,13.5,42.58333333
15,13.20833333,43.03666667
16,12.61,43.32333333
17,12.2944,43.88333333
18,11.85,45
19,14.33333333,53
20,14.16666667,54
21,7.39165,78
22,7.008333333,79.79166667
23,7.003333333,79.81
24,6.979166667,79.83166667
25,6.97,79.835
26,6.946666667,79.835
