No,Latitude,Longitude  
1,33.748,-118.2703333
2,33.7485,-118.2721667
3,33.7405,-118.2765
4,33.73533333,-118.2758333
5,33.73,-118.273
6,33.72293333,-118.2697667
7,33.71666667,-118.265
8,33.71016667,-118.2485
9,33.68333333,-118.2358333
10,33.68333333,-118.2358333
11,33.64166667,-118.2933333
12,33.64166667,-118.35
13,33.84,-118.7683333
14,34.07,-119.25
15,34.5,-121.1333333
16,35.85,-122.0833333
17,37,-122.6
18,37.30666667,-122.6633333
19,37.65333333,-122.6633333
20,37.73333333,-122.6916667
21,37.73333333,-122.6916667
22,37.76166667,-122.64
23,37.79833333,-122.5166667
24,37.81666667,-122.48
25,37.81666667,-122.405
26,37.802,-122.3733333
27,37.80333333,-122.355
28,37.80833333,-122.3383333
