No,Latitude,Longitude  
1,35.61133333,139.7791667
2,35.59333333,139.7833333
3,35.57766667,139.8
4,35.54666667,139.8466667
5,35.49316667,139.8465
6,35.40833333,139.7191667
7,35.38316667,139.705
8,35.32983333,139.7096667
9,35.25583333,139.7725
10,35.21016667,139.7725
11,35.21016667,139.7725
12,34.94833333,139.675
13,34.16666667,139.3
14,34,138.7666667
15,30.91666667,130.85
16,30.94166667,129.5
17,31.4,128
18,32.71666667,125
19,34.5,122.5
20,35.8,120.845
21,35.93333333,120.78
22,35.9967,120.5166667
23,36.025,120.3333333
24,36.035,120.28
25,36.03333333,120.2583333
26,36.02166667,120.225
27,36.01,120.2166667
28,36.01,120.2083333
