No,Latitude,Longitude  
1,35.61133333,139.7791667
2,35.59333333,139.7833333
3,35.57766667,139.8
4,35.55,139.8463333
5,35.49316667,139.8465
6,35.40833333,139.7191667
7,35.38316667,139.705
8,35.32983333,139.7096667
9,35.25583333,139.7725
10,35.21016667,139.7725
11,35.21016667,139.7725
12,35.11666667,139.7416667
13,34.96666667,139.6833333
14,34.63333333,139.5
15,34.58333333,139.2666667
16,30.91666667,130.85
17,31,128.6666667
18,32,126
19,33.5,124
20,34.7,122.65
21,35.83333333,121.25
22,35.94061667,120.8336833
23,36.025,120.3333333
24,36.035,120.275
25,36.03366667,120.2566667
26,36.0225,120.2283333
27,36.00833333,120.2116667
28,35.9975,120.2075
