No,Latitude,Longitude  
1,29.93833333,121.8683333
2,29.96833333,121.9716667
3,29.92,122.025
4,29.92,122.1583333
5,29.83333333,122.21
6,29.80833333,122.235
7,29.7575,122.3025
8,29.7575,122.3025
9,29.745,122.3183333
10,29.75,122.5833333
11,30.51666667,130
12,30.95,131
13,33.86666667,138.8333333
14,34.66666667,140
15,33.65,-124.45
16,33.75,-120.1
17,33.6,-118.3416667
18,33.6,-118.3416667
19,33.6,-118.2933333
20,33.68166667,-118.235
21,33.68166667,-118.235
22,33.70966667,-118.2481667
23,33.71778333,-118.2675
24,33.73533333,-118.2758333
25,33.74083333,-118.2765
26,33.75166667,-118.2704167
