No,Latitude,Longitude  
1,29.89083333,122.0421667
2,29.92,122.0771667
3,29.92,122.1583333
4,29.835,122.2086667
5,29.80833333,122.2348333
6,29.7575,122.3025
7,29.735,122.33
8,29.66666667,122.5833333
9,29.75,123
10,34,129.5
11,41.31666667,140.2833333
12,41.63,140.92
13,41.66666667,143.25
14,34.35248333,-125.5431167
15,33.66833333,-124.4533333
16,33.63333333,-119.0916667
17,33.59666667,-118.6033333
18,33.59666667,-118.2666667
19,33.685,-118.2366667
20,33.71,-118.2483333
21,33.71833333,-118.2675
22,33.73666667,-118.2763333
23,33.74083333,-118.2763333
24,33.74583333,-118.2721667
