No,Latitude,Longitude  
1,-29.87366667,31.03333333
2,-29.87683333,31.03966667
3,-29.87833333,31.04566667
4,-29.87666667,31.05083333
5,-29.84166667,31.08183333
6,-26.16666667,47
7,-20,60
8,5.866666667,94.66666667
9,6.083333333,95.41666667
10,5.5,97.58333333
11,3.666666667,100
12,3,100.78
13,2.888333333,100.9166667
14,2.8,101
15,2.575,101.425
16,2.133333333,101.975
17,1.9,102.2333333
18,1.641666667,102.7833333
19,1.383333333,103.1916667
20,1.254166667,103.3333333
21,1.145,103.5
22,1.216666667,103.54
23,1.213333333,103.6
24,1.201666667,103.65
25,1.225,103.7
26,1.246666667,103.7283333
27,1.245,103.7416667
28,1.25,103.7616667
29,1.259416667,103.7695
30,1.279166667,103.745
31,1.2875,103.75
32,1.288333333,103.75
33,1.283333333,103.7666667
