No,Latitude,Longitude  
1,25.14333333,121.7555
2,25.16,121.7536667
3,25.16516667,121.7521667
4,25.17233333,121.7571667
5,25.18166667,121.7591667
6,25.21666667,121.7666667
7,25.38333333,121.6833333
8,25.38333333,121.3666667
9,25.21666667,120.9333333
10,23.8,119.95
11,23.2,119.8333333
12,15,115.0333333
13,10,111.2
14,7.666666667,109.4
15,4.216666667,105.9
16,2.733333333,105.1333333
17,1.55,104.5933333
18,1.313333333,104.325
19,1.258333333,104
20,1.225,103.8908333
21,1.225,103.8916667
22,1.219166667,103.865
23,1.211666667,103.8541667
24,1.205833333,103.8375
25,1.210833333,103.8041667
26,1.223333333,103.79
27,1.261666667,103.7666667
28,1.279166667,103.745
29,1.2875,103.75
30,1.288333333,103.7583333
31,1.283333333,103.7666667
