No,Latitude,Longitude  
1,1.265,103.8533333
2,1.253333333,103.8566667
3,1.218333333,103.87
4,1.208,103.875
5,1.173333333,103.795
6,1.136666667,103.7333333
7,1.178333333,103.6666667
8,1.208333333,103.5166667
9,1.241666667,103.4116667
10,1.625,103
11,1.941666667,102.2666667
12,2.175,102
13,2.611666667,101.44
14,2.841666667,100.9866667
15,2.941666667,100.9
16,3.75,100
17,5.5,97.58333333
18,6.083333333,95.41666667
19,5.866666667,94.66666667
20,-20,60
21,-26.16666667,47
22,-29.8,31.12333333
23,-29.835,31.08783333
24,-29.87666667,31.05083333
25,-29.87833333,31.04566667
26,-29.87683333,31.03966667
27,-29.87366667,31.03333333
