No,Latitude,Longitude  
1,-29.88,31.0275
2,-29.875,31.0275
3,-29.87416667,31.03333333
4,-29.8775,31.04333333
5,-29.87666667,31.05083333
6,-29.86666667,31.06
7,-29.835,31.09166667
8,-29.83666667,31.13333333
9,-27,45
10,-21,58
11,6.25,94.75
12,6.25,95.16666667
13,6,98
14,3.05,100.7
15,2.946666667,100.85
16,2.8,100.9833333
17,2.8,100.9833333
18,2.576666667,101.4166667
19,2.133333333,101.9666667
20,1.883333333,102.2333333
21,1.625,102.8
22,1.405,103.1666667
23,1.205,103.3883333
24,1.155,103.5
25,1.23,103.5416667
26,1.215,103.6
27,1.201666667,103.65
28,1.21,103.675
29,1.23,103.6966667
30,1.231666667,103.7116667
31,1.246666667,103.7283333
32,1.243333333,103.7433333
33,1.253333333,103.7666667
34,1.26,103.7683333
35,1.26,103.7683333
36,1.28,103.745
37,1.286666667,103.7466667
38,1.29,103.7583333
39,1.285,103.7666667
