No,Latitude,Longitude  
1,25.14333333,121.755
2,25.15833333,121.7541667
3,25.16555,121.7519167
4,25.17016667,121.755
5,25.20333333,121.7633333
6,25.38333333,121.6666667
7,25.38333333,121.3333333
8,24.83333333,119.8333333
9,23.3,117.8833333
10,17,114
11,8,109.7666667
12,6.5,108
13,3.2,105
14,3.2,105
15,2,104.7833333
16,1.525,104.5666667
17,1.316666667,104.33
18,1.26,103.9966667
19,1.225,103.8916667
20,1.219166667,103.865
21,1.211666667,103.8533333
22,1.205833333,103.8366667
23,1.21,103.8116667
24,1.216666667,103.8
25,1.245,103.7766667
26,1.257,103.77
27,1.28,103.745
28,1.286666667,103.7466667
29,1.29,103.7583333
30,1.285,103.7666667
