No,Latitude,Longitude  
1,1.285,103.7666667
2,1.29,103.7583333
3,1.286666667,103.7466667
4,1.28,103.7458333
5,1.27,103.7466667
6,1.248333333,103.7166667
7,1.211666667,103.67
8,1.196666667,103.64
9,1.235,103.4083333
10,1.458333333,103.1833333
11,1.633333333,102.9666667
12,1.95,102.2583333
13,2.258333333,101.9033333
14,2.598333333,101.4566667
15,2.828333333,101
16,2.908333333,100.92
17,6,98
18,6,98
19,6.416666667,95.16666667
20,6.416666667,94.75
21,-20,55
22,-27,45
23,-29.82833333,31.09
24,-29.835,31.08833333
25,-29.835,31.09166667
26,-29.86666667,31.06
27,-29.87666667,31.05083333
28,-29.8775,31.04333333
29,-29.87416667,31.03333333
30,-29.875,31.0275
31,-29.88,31.0275
