No,Latitude,Longitude  
1,1.285,103.7666667
2,1.29,103.7583333
3,1.286666667,103.7466667
4,1.28,103.745
5,1.26,103.7683333
6,1.236666667,103.78
7,1.2,103.81
8,1.195,103.8283333
9,1.2,103.81
10,1.178333333,103.825
11,1.225,103.9333333
12,1.288333333,104.3333333
13,1.591666667,104.6666667
14,2,104.7833333
15,3.2,105
16,6.5,108
17,7.333333333,109.2333333
18,17,114
19,17,114
20,23.3,117.8833333
21,24.8,119.8333333
22,26.23333333,121.3666667
23,29,122.5
24,29.68333333,122.5833333
25,29.74666667,122.3216667
26,29.75833333,122.3066667
27,29.75833333,122.3066667
28,29.81,122.2375
29,29.83833333,122.2108333
30,29.925,122.1633333
31,29.925,122.1633333
32,29.925,122.1
33,29.89166667,122.0391667
