No,Latitude,Longitude  
1,21.475,39.16083333
2,21.465,39.15333333
3,21.465,39.13333333
4,21.46666667,39.10166667
5,21.49333333,39.075
6,21.48333333,39
7,21,38.75
8,20,39.01666667
9,15,41.94583333
10,14.03916667,42.82395
11,13.2,43.04166667
12,12.60833333,43.325
13,12.29166667,43.875
14,11.83333333,45
15,14.33333333,53
16,14.16666667,54
17,5.6,80.5
18,6.316666667,95.08333333
19,5.633333333,97.8
20,3,100.7833333
21,2.8,101
22,2.583333333,101.3966667
23,2.133333333,101.9666667
24,1.9,102.2166667
25,1.633333333,102.8
26,1.375,103.2
27,1.214883333,103.3837167
28,1.168333333,103.4583333
29,1.211666667,103.6
30,1.2,103.6566667
31,1.22,103.6933333
32,1.236666667,103.7166667
33,1.246666667,103.7333333
34,1.246666667,103.75
35,1.255,103.7666667
36,1.263333333,103.7666667
37,1.276666667,103.7566667
