No,Latitude,Longitude  
1,22.45833333,113.8983333
2,22.44,113.8833333
3,22.41666667,113.8866667
4,22.39,113.8941667
5,22.36833333,113.9116667
6,22.34666667,113.95
7,22.34333333,114.0083333
8,22.359,114.05615
9,22.35833333,114.07115
10,22.325,114.0833333
11,22.29333333,114.0956667
12,22.24566667,114.12
13,22.23566667,114.1333333
14,22.20833333,114.1716667
15,22.12666667,114.2216667
16,22.11833333,114.25
17,22.11,114.35
18,22.05,114.4
19,16,112.9
20,10,110
21,3.25,105.25
22,1.533333333,104.5833333
23,1.311666667,104.325
24,1.25,103.9666667
25,1.225,103.895
26,1.225166667,103.8908333
27,1.218833333,103.8641667
28,1.211666667,103.8531667
29,1.206166667,103.8375
30,1.21,103.805
31,1.225,103.7883333
32,1.263333333,103.7666667
33,1.28,103.745
34,1.288333333,103.75
35,1.285833333,103.7683333
