No,Latitude,Longitude  
1,21.46666667,39.10166667
2,21.16666667,38.91666667
3,21,38.91666667
4,19,39.66666667
5,15.5,41.68333333
6,13.5,42.58333333
7,13.20833333,43.04166667
8,12.6,43.33333333
9,12.5,43.51666667
10,11.83333333,45
11,14.35,53
12,14.16666667,54
13,8.05,73
14,6.466666667,78
15,5.71,80.29
16,6.2,95.13333333
17,5.516666667,97.53333333
18,3.666666667,100
19,3,100.775
20,2.946666667,100.8466667
21,2.798333333,101
22,2.583333333,101.4
23,2.133333333,101.9666667
24,1.9,102.2166667
25,1.633333333,102.8
26,1.375,103.2
27,1.211283333,103.3856167
28,1.166666667,103.4666667
29,1.213666667,103.6
