No,Latitude,Longitude  
1,1.245,103.5366667
2,1.223333333,103.52
3,1.241666667,103.4166667
4,1.411666667,103.1766667
5,1.666666667,102.825
6,1.95,102.2666667
7,2.183333333,102
8,2.383333333,101.75
9,2.591666667,101.4666667
10,2.829166667,101
11,2.908333333,100.925
12,3,100.8166667
13,3.666666667,100
14,5.516666667,97.53333333
15,6.2,95.13333333
16,5.803333333,80
17,6.446666667,78
18,8.05,73
19,14.16666667,54
20,14.45,53
21,11.95,45
22,12.55,43.5
23,12.63333333,43.36
24,13.23333333,43.06666667
25,14.06666667,42.86666667
26,15,42.03333333
27,15.5,41.68333333
28,19,39.66666667
29,21,38.91666667
30,21.5,39
31,21.5,39.07333333
32,21.46666667,39.10166667
