No,Latitude,Longitude  
1,21.47666667,39.15833333
2,21.475,39.1605
3,21.465,39.15266667
4,21.465,39.13
5,21.46666667,39.10166667
6,21.5,39.06666667
7,21.5,39
8,21.08333333,38.91666667
9,15.5,41.66666667
10,15,41.83333333
11,13.5,42.58333333
12,13.2,43.04166667
13,12.60833333,43.325
14,12.28333333,43.88333333
15,11.83333333,45
16,14.33333333,53
17,14.16666667,54
18,7.765,73
19,6.466666667,78
20,5.716666667,80.45
21,6.2,95.50666667
22,5.5,98
23,4,99.53333333
24,2.891666667,100.9166667
25,2.8,101
26,2.575,101.425
27,2.116666667,102
28,1.888333333,102.225
29,1.625,102.7916667
30,1.396666667,103.1666667
31,1.21,103.3766667
32,1.1725,103.45
33,1.213333333,103.6016667
34,1.2,103.6583333
35,1.23,103.7083333
36,1.246666667,103.7266667
37,1.246666667,103.7583333
38,1.255,103.7666667
39,1.263333333,103.7666667
40,1.275833333,103.7558333
