No,Latitude,Longitude  
1,21.48,39.15833333
2,21.475,39.16
3,21.465,39.15333333
4,21.465,39.11166667
5,21.46666667,39.1
6,21.48833333,39.08
7,21.48833333,39.04166667
8,20.66666667,38.65
9,15,42
10,13.66666667,42.5
11,13.5,42.58333333
12,13.20833333,43.03666667
13,12.61,43.32333333
14,12.29433333,43.88333333
15,11.85,45
16,14.33333333,53
17,14.16666667,54
18,7.75,73
19,6.36,78
20,5.8,80
21,5.693333333,80.5
22,5.8,82
23,6.193333333,95.28333333
24,5.5,97.58333333
25,4,99.53333333
26,2.891666667,100.9166667
27,2.8,101
28,2.575,101.425
29,2.116666667,102
30,1.8875,102.225
31,1.625,102.7916667
32,1.425,103.1416667
33,1.213333333,103.3916667
34,1.17,103.4558333
35,1.215,103.6016667
36,1.203333333,103.65
37,1.223333333,103.7
38,1.246666667,103.725
39,1.245,103.75
40,1.25,103.7683333
41,1.261666667,103.7683333
42,1.278333333,103.745
43,1.29,103.7533333
44,1.28,103.7683333
