No,Latitude,Longitude  
1,1.361666667,103.545
2,1.35,103.5466667
3,1.333333333,103.5533333
4,1.315,103.5576667
5,1.243333333,103.5375
6,1.216666667,103.53
7,1.241666667,103.415
8,1.408333333,103.1833333
9,1.666666667,102.825
10,1.9,102.3333333
11,2.191666667,102
12,2.6125,101.4583333
13,2.833333333,101
14,3.15,100.6666667
15,5.5,97.58333333
16,6.043666667,94.92373333
17,5.8,82
18,5.8,80
19,6.36,78
20,7.75,73
21,14.16666667,54
22,14.46666667,53
23,11.96666667,45
24,12.33333333,44
25,12.55833333,43.49166667
26,12.63333333,43.35833333
27,13.23333333,43.06666667
28,14.075,42.85833333
29,15,42
30,20.66666667,38.65
31,21.48833333,39.04166667
32,21.48833333,39.08
33,21.46666667,39.1
34,21.465,39.11166667
35,21.465,39.15333333
36,21.475,39.16
37,21.48,39.15833333
